rank,path_id,start_node,end_node,nodes,cost,time
1,18,"(4, 15)","(1, 15)","[(4, 15), (3, 15), (2, 15), (1, 15)]",3.0,3
2,23,"(7, 4)","(4, 4)","[(7, 4), (6, 4), (5, 4), (4, 4)]",3.0,3
3,28,"(11, 11)","(8, 11)","[(11, 11), (10, 11), (9, 11), (8, 11)]",3.0,3
4,33,"(14, 0)","(11, 0)","[(14, 0), (13, 0), (12, 0), (11, 0)]",3.0,3
5,54,"(14, 0)","(11, 0)","[(14, 0), (13, 0), (12, 0), (11, 0)]",3.0,3
6,59,"(11, 11)","(8, 11)","[(11, 11), (10, 11), (9, 11), (8, 11)]",3.0,3
7,64,"(7, 4)","(4, 4)","[(7, 4), (6, 4), (5, 4), (4, 4)]",3.0,3
8,69,"(4, 15)","(1, 15)","[(4, 15), (3, 15), (2, 15), (1, 15)]",3.0,3
9,61,"(0, 0)","(4, 4)","[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (1, 4), (2, 4), (3, 4), (4, 4)]",8.0,8
10,68,"(0, 8)","(1, 15)","[(0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (1, 15)]",8.0,8
11,5,"(0, 0)","(4, 4)","[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (1, 4), (2, 4), (3, 4), (4, 4)]",8.0,8
12,11,"(0, 8)","(4, 4)","[(0, 8), (0, 7), (0, 6), (0, 5), (0, 4), (1, 4), (2, 4), (3, 4), (4, 4)]",8.0,8
13,12,"(0, 8)","(1, 15)","[(0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (1, 15)]",8.0,8
14,16,"(4, 15)","(8, 11)","[(4, 15), (4, 14), (4, 13), (4, 12), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11)]",8.0,8
15,21,"(7, 4)","(11, 0)","[(7, 4), (7, 3), (7, 2), (7, 1), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0)]",8.0,8
16,22,"(7, 4)","(8, 11)","[(7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (7, 11), (8, 11)]",8.0,8
17,25,"(11, 11)","(15, 15)","[(11, 11), (11, 12), (11, 13), (11, 14), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15)]",8.0,8
18,26,"(11, 11)","(15, 7)","[(11, 11), (11, 10), (11, 9), (11, 8), (11, 7), (12, 7), (13, 7), (14, 7), (15, 7)]",8.0,8
19,32,"(14, 0)","(15, 7)","[(14, 0), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (14, 6), (14, 7), (15, 7)]",8.0,8
20,41,"(11, 11)","(15, 15)","[(11, 11), (11, 12), (11, 13), (11, 14), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15)]",8.0,8
21,47,"(11, 11)","(15, 7)","[(11, 11), (11, 10), (11, 9), (11, 8), (11, 7), (12, 7), (13, 7), (14, 7), (15, 7)]",8.0,8
22,48,"(14, 0)","(15, 7)","[(14, 0), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (14, 6), (14, 7), (15, 7)]",8.0,8
23,52,"(7, 4)","(11, 0)","[(7, 4), (7, 3), (7, 2), (7, 1), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0)]",8.0,8
24,57,"(4, 15)","(8, 11)","[(4, 15), (4, 14), (4, 13), (4, 12), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11)]",8.0,8
25,58,"(7, 4)","(8, 11)","[(7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (7, 11), (8, 11)]",8.0,8
26,62,"(0, 8)","(4, 4)","[(0, 8), (0, 7), (0, 6), (0, 5), (0, 4), (1, 4), (2, 4), (3, 4), (4, 4)]",8.0,8
27,39,"(4, 15)","(15, 15)","[(4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15)]",11.0,11
28,49,"(0, 0)","(11, 0)","[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0)]",11.0,11
29,56,"(0, 8)","(8, 11)","[(0, 8), (0, 9), (0, 10), (0, 11), (1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11)]",11.0,11
30,3,"(0, 0)","(11, 0)","[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0)]",11.0,11
31,10,"(0, 8)","(8, 11)","[(0, 8), (0, 9), (0, 10), (0, 11), (1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11)]",11.0,11
32,13,"(4, 15)","(15, 15)","[(4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15)]",11.0,11
33,17,"(4, 15)","(4, 4)","[(4, 15), (4, 14), (4, 13), (4, 12), (4, 11), (4, 10), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5), (4, 4)]",11.0,11
34,20,"(7, 4)","(15, 7)","[(7, 4), (7, 5), (7, 6), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (12, 7), (13, 7), (14, 7), (15, 7)]",11.0,11
35,27,"(11, 11)","(11, 0)","[(11, 11), (11, 10), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (11, 1), (11, 0)]",11.0,11
36,46,"(7, 4)","(15, 7)","[(7, 4), (7, 5), (7, 6), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (12, 7), (13, 7), (14, 7), (15, 7)]",11.0,11
37,53,"(11, 11)","(11, 0)","[(11, 11), (11, 10), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (11, 1), (11, 0)]",11.0,11
38,63,"(4, 15)","(4, 4)","[(4, 15), (4, 14), (4, 13), (4, 12), (4, 11), (4, 10), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5), (4, 4)]",11.0,11
39,29,"(11, 11)","(4, 4)","[(11, 11), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11), (4, 11), (4, 10), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5), (4, 4)]",14.0,14
40,30,"(11, 11)","(1, 15)","[(11, 11), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11), (4, 11), (3, 11), (2, 11), (1, 11), (1, 12), (1, 13), (1, 14), (1, 15)]",14.0,14
