time_step,path_id,nodes,cost,time,completed
1,1,"[(0, 0), (1, 0)]",1.0,1,False
1,2,"[(0, 0), (1, 0)]",1.0,1,False
1,3,"[(0, 0), (1, 0)]",1.0,1,False
1,4,"[(0, 0), (1, 0)]",1.0,1,False
1,5,"[(0, 0), (1, 0)]",1.0,1,False
1,6,"[(0, 0), (1, 0)]",1.0,1,False
1,7,"[(0, 16), (1, 16)]",1.0,1,False
1,8,"[(0, 16), (1, 16)]",1.0,1,False
1,9,"[(0, 16), (1, 16)]",1.0,1,False
1,10,"[(0, 16), (1, 16)]",1.0,1,False
1,11,"[(0, 16), (1, 16)]",1.0,1,False
1,12,"[(0, 16), (1, 16)]",1.0,1,False
1,13,"[(6, 31), (7, 31)]",1.0,1,False
1,14,"[(6, 31), (7, 31)]",1.0,1,False
1,15,"[(6, 31), (7, 31)]",1.0,1,False
1,16,"[(6, 31), (7, 31)]",1.0,1,False
1,17,"[(6, 31), (7, 31)]",1.0,1,False
1,18,"[(6, 31), (7, 31)]",1.0,1,False
1,19,"[(14, 8), (13, 8)]",1.0,1,False
1,20,"[(14, 8), (13, 8)]",1.0,1,False
1,21,"[(14, 8), (13, 8)]",1.0,1,False
1,22,"[(14, 8), (13, 8)]",1.0,1,False
1,23,"[(14, 8), (13, 8)]",1.0,1,False
1,24,"[(14, 8), (13, 8)]",1.0,1,False
1,25,"[(20, 23), (19, 23)]",1.0,1,False
1,26,"[(20, 23), (19, 23)]",1.0,1,False
1,27,"[(20, 23), (19, 23)]",1.0,1,False
1,28,"[(20, 23), (19, 23)]",1.0,1,False
1,29,"[(20, 23), (19, 23)]",1.0,1,False
1,30,"[(20, 23), (19, 23)]",1.0,1,False
1,31,"[(28, 0), (27, 0)]",1.0,1,False
1,32,"[(28, 0), (27, 0)]",1.0,1,False
1,33,"[(28, 0), (27, 0)]",1.0,1,False
1,34,"[(28, 0), (27, 0)]",1.0,1,False
1,35,"[(28, 0), (27, 0)]",1.0,1,False
1,36,"[(28, 0), (27, 0)]",1.0,1,False
1,37,"[(30, 15), (31, 15)]",1.0,1,False
1,38,"[(30, 15), (31, 15)]",1.0,1,False
1,39,"[(30, 15), (31, 15)]",1.0,1,False
1,40,"[(30, 15), (31, 15)]",1.0,1,False
1,41,"[(30, 15), (31, 15)]",1.0,1,False
1,42,"[(30, 15), (31, 15)]",1.0,1,False
1,43,"[(24, 0), (25, 0)]",1.0,1,False
1,44,"[(24, 0), (25, 0)]",1.0,1,False
1,45,"[(24, 0), (25, 0)]",1.0,1,False
1,46,"[(24, 0), (25, 0)]",1.0,1,False
1,47,"[(24, 0), (25, 0)]",1.0,1,False
1,48,"[(24, 0), (25, 0)]",1.0,1,False
1,49,"[(17, 22), (17, 23)]",1.0,1,False
1,50,"[(17, 22), (17, 23)]",1.0,1,False
1,51,"[(17, 22), (17, 23)]",1.0,1,False
1,52,"[(17, 22), (17, 23)]",1.0,1,False
1,53,"[(17, 22), (17, 23)]",1.0,1,False
1,54,"[(17, 22), (17, 23)]",1.0,1,False
1,55,"[(10, 8), (11, 8)]",1.0,1,False
1,56,"[(10, 8), (11, 8)]",1.0,1,False
1,57,"[(10, 8), (11, 8)]",1.0,1,False
1,58,"[(10, 8), (11, 8)]",1.0,1,False
1,59,"[(10, 8), (11, 8)]",1.0,1,False
1,60,"[(10, 8), (11, 8)]",1.0,1,False
1,61,"[(2, 31), (3, 31)]",1.0,1,False
1,62,"[(2, 31), (3, 31)]",1.0,1,False
1,63,"[(2, 31), (3, 31)]",1.0,1,False
1,64,"[(2, 31), (3, 31)]",1.0,1,False
1,65,"[(2, 31), (3, 31)]",1.0,1,False
1,66,"[(2, 31), (3, 31)]",1.0,1,False
2,1,"[(6, 31), (7, 31), (7, 30)]",2.0,2,False
2,2,"[(6, 31), (7, 31), (7, 30)]",2.0,2,False
2,3,"[(6, 31), (7, 31), (7, 30)]",2.0,2,False
2,4,"[(6, 31), (7, 31), (7, 30)]",2.0,2,False
2,5,"[(6, 31), (7, 31), (7, 30)]",2.0,2,False
2,6,"[(6, 31), (7, 31), (7, 30)]",2.0,2,False
2,7,"[(14, 8), (13, 8), (13, 7)]",2.0,2,False
