rank,path_id,start_node,end_node,nodes,cost,time
1,10,"(20, 23)","(17, 23)","[(20, 23), (19, 23), (18, 23), (17, 23)]",3.0,3
2,15,"(28, 0)","(25, 0)","[(28, 0), (27, 0), (26, 0), (25, 0)]",3.0,3
3,30,"(28, 0)","(25, 0)","[(28, 0), (27, 0), (26, 0), (25, 0)]",3.0,3
4,35,"(20, 23)","(17, 23)","[(20, 23), (19, 23), (18, 23), (17, 23)]",3.0,3
5,4,"(20, 23)","(17, 23)","[(20, 23), (19, 23), (18, 23), (17, 23)]",3.0,3
6,9,"(28, 0)","(25, 0)","[(28, 0), (27, 0), (26, 0), (25, 0)]",3.0,3
7,24,"(28, 0)","(25, 0)","[(28, 0), (27, 0), (26, 0), (25, 0)]",3.0,3
8,29,"(20, 23)","(17, 23)","[(20, 23), (19, 23), (18, 23), (17, 23)]",3.0,3
9,19,"(28, 0)","(25, 0)","[(28, 0), (27, 0), (26, 0), (25, 0)]",3.0,3
10,7,"(28, 0)","(25, 0)","[(28, 0), (27, 0), (26, 0), (25, 0)]",3.0,3
11,14,"(28, 0)","(25, 0)","[(28, 0), (27, 0), (26, 0), (25, 0)]",3.0,3
12,1,"(20, 23)","(17, 23)","[(20, 23), (19, 23), (18, 23), (17, 23)]",3.0,3
13,2,"(28, 0)","(25, 0)","[(28, 0), (27, 0), (26, 0), (25, 0)]",3.0,3
14,3,"(28, 0)","(25, 0)","[(28, 0), (27, 0), (26, 0), (25, 0)]",3.0,3
